LAMMPS data file via write_data, version 3 Mar 2020, timestep = 87026

3000 atoms
2 atom types

-5.2266464762387034e+02 5.5776464762388423e+02 xlo xhi
-5.2266464762387034e+02 5.5776464762388423e+02 ylo yhi
-5.2266464762387034e+02 5.5776464762388423e+02 zlo zhi

Masses

1 28.0855
2 15.9994

Atoms # charge

1904 2 -1.2000000000000000e+00 -1.8489382585249984e+02 -5.4259310068491686e+01 -5.2123752383532815e+02 2 2 1
418 1 2.3999999999999999e+00 -3.1901762286678570e+02 -3.0042775905450981e+01 -5.2194688394945513e+02 -3 -1 0
1283 2 -1.2000000000000000e+00 -2.6044916684057648e+02 -3.8259847876019796e+02 -5.2061840523653041e+02 2 0 -3
1236 2 -1.2000000000000000e+00 -2.2132587134108809e+02 -3.4551518068758674e+02 -5.1911251134540055e+02 -1 -1 0
1017 2 -1.2000000000000000e+00 -2.4905734469036867e+02 -2.1014154352161751e+02 -5.1806141553665384e+02 1 1 2
2246 2 -1.2000000000000000e+00 -4.6990710554114196e+02 -4.3969028571053821e+02 -5.1086903281697397e+02 0 2 1
1240 2 -1.2000000000000000e+00 -1.8062814699553866e+02 -4.1528896135989021e+02 -5.1149113321651225e+02 2 -1 3
2582 2 -1.2000000000000000e+00 -1.6678069797567167e+02 -1.6974245172568254e+02 -5.1211562488148911e+02 -1 -2 -3
834 1 2.3999999999999999e+00 -4.6838771546346936e+02 -5.0172441683900541e+02 -5.0847309670708250e+02 1 2 0
1489 2 -1.2000000000000000e+00 -3.9596533279565784e+02 -1.9922455359261926e+02 -5.0873417102261425e+02 -1 0 -1
1562 2 -1.2000000000000000e+00 -4.0171545451638030e+02 -3.0036930097548975e-01 -5.0741316037907319e+02 0 1 1
262 1 2.3999999999999999e+00 -5.1315379154368895e+02 -3.2958586573711136e+02 -5.0498451918449103e+02 -1 -1 3
606 1 2.3999999999999999e+00 -1.6624882219051756e+02 -3.4945110439060670e+01 -5.0570046631211591e+02 90 -54 47
2680 2 -1.2000000000000000e+00 -4.9334285684073427e+02 -2.3682102020307389e+02 -5.0426031929649406e+02 -2 4 0
2836 2 -1.2000000000000000e+00 -3.0983085448687211e+02 -4.0429666735003730e+02 -5.0204352797916681e+02 0 3 1
1728 2 -1.2000000000000000e+00 -4.9176583595554234e+02 -1.1980337250803132e+02 -5.0190374071823044e+02 2 1 0
